sl	prompt	solution0	solution1	label	Category	langauge (FLORES-200 code)
11	ଦେଖିଲେ ଯଦି ପୁରୀ ବିଚ୍‌ରେ ନିର୍ମଳ ବାଳୁକା ଉପରେ ଖାଲିପାଉଁ ଚାଲିବ, କେମିତି ଛୁଆଁ ଲାଗିବ ଏବଂ ପାଦ ଉପରେ କେଉଁ ପ୍ରଭାବ ପଡ଼ିବ?	ବାଳୁକାଟା ସାଧାରଣତଃ ବହୁତ କଠିନ ଓ ପଥର ପରି ଠଣ୍ଡା ଲାଗିବ, ତେଣୁ ପାଦ ଦବିବ ନାହିଁ।	ବିଚ୍‌ର ବାଳୁକା ହଳୁକା ଦାଣାଦାର ଓ ଅଳ୍ପ ନରମ ଥାଏ, ଖାଲିପାଉଁ ଚାଲିଲେ ପାଦ ଅଳ୍ପ ଦବିଯାଏ। ଧୂପ ଥିଲେ ବାଳୁକା ଗରମ ଲାଗିପାରେ, ଛାୟା/ଭିଜା ବାଳୁକା ଅପେକ୍ଷାକୃତ ଠଣ୍ଡା ଲାଗିବ।	1	Puri	ory_Orya
12	କଳ୍ପନା କର, ପୁରୀ ବିଚ୍‌ର ପାଣି ଛୁଇଁଲାପରେ ହାତରେ କେମିତି ଅନୁଭବ ହେବ? ଲୁଣିଆପନ ଓ ଚର୍ମ ଉପରେ ପ୍ରଭାବ କହ।	ସମୁଦ୍ର ପାଣି ମିଠା ଥାଏ ଏବଂ ହାତକୁ ତେଲିଆ ଭଳି କରିଦିଏ, ଲୁଣିଆପନ ନଥାଏ।	ସମୁଦ୍ର ପାଣି ଲୁଣିଆ ଥାଏ, ଛୁଇଁଲେ ଚର୍ମ ଉପରେ ହାଲୁକା “ଲୁଣ” ଅନୁଭବ ରହିପାରେ। ପାଣି ଶୁଖିଗଲାପରେ ଚର୍ମ ଅଳ୍ପ ଶୁଷ୍କ ଲାଗିପାରେ, ତେଣୁ ପରେ ମିଠା ପାଣିରେ ଧୋଇଦେଲେ ଭଲ।	1	Puri	ory_Orya
13	ଯଦି ତୁମେ ପୁରୀ ଟୁରିଜମ୍‌ରେ ସୀ-ଶେଲ୍ ଗହଣା କିମ୍ବା ହାତକାମ ଜିନିଷ କିଣୁଛ, ତାହାର ଓଜନ ଓ ଭାଙ୍ଗୁରତା କିପରି ଯାଞ୍ଚ କରିବ?	ସୀ-ଶେଲ୍ ସବୁବେଳେ ରବର ପରି ନରମ ଥାଏ, ତେଣୁ ଭାଙ୍ଗିବା ଭୟ ନାହିଁ ଏବଂ ଓଜନ ଭାରୀ ହେବ।	ସୀ-ଶେଲ୍ ସାଧାରଣତଃ ହାଲୁକା ଓ ଭାଙ୍ଗୁର ହୋଇପାରେ। କିଣିବାବେଳେ ହାତରେ ଧରି ଧୀରେ ଟାପ୍ କରି ଫାଟ/ଚିରା ଅଛି କି ନାହିଁ ଦେଖିବା, ଏବଂ ପାଉଚ୍/ବକ୍ସରେ ସୁରକ୍ଷିତ ରଖିବା ଭଲ।	1	Puri	ory_Orya
14	ଧ୍ୟାନ ଦେଇ ଦେଖ: ପୁରୀର ରାସ୍ତା ହାଟରେ ବିକ୍ରି ହେଉଥିବା କାଠର ଖେଳନା ଓ ପ୍ଲାଷ୍ଟିକ ଖେଳନାର ଛୁଆଁ, ଗନ୍ଧ, ଏବଂ ଦୃଢତାରେ କି ତଫାତ ଥାଇପାରେ?	କାଠର ଖେଳନା ସବୁବେଳେ ପ୍ଲାଷ୍ଟିକଠୁ ଅଧିକ ଚିକ୍କଣ ଏବଂ କୌଣସି ଗନ୍ଧ ନଥାଏ; ପ୍ଲାଷ୍ଟିକ ଖେଳନା ଭାଙ୍ଗୁର ଓ ଭାରୀ ଥାଏ।	କାଠର ଖେଳନାରେ ପ୍ରାକୃତିକ ଦାଣା/ଟେକ୍ସଚର ଥାଏ ଏବଂ କେବେକେବେ ହାଲୁକା କାଠର ଗନ୍ଧ ଆସିପାରେ। ପ୍ଲାଷ୍ଟିକ ଖେଳନା ଅଧିକ ଚିକ୍କଣ ଓ ହାଲୁକା ହୋଇପାରେ, ଏବଂ କେବେକେବେ “ନୂଆ ପ୍ଲାଷ୍ଟିକ” ଭଳି ହାଲୁକା ଗନ୍ଧ ଥାଇପାରେ।	1	Puri	ory_Orya
15	ଭାବ, ପୁରୀର ଷ୍ଟ୍ରିଟ୍ ଭେଣ୍ଡର୍ ଠାରୁ କଟା ଫଳ କିଣିଲାପରେ ତାଜାପନ କିପରି ବୁଝିବ? ରଙ୍ଗ, ଘ୍ରାଣ, ଏବଂ ସ୍ପର୍ଶ ଆଧାରରେ କହ।	ତାଜା ଫଳ ସବୁବେଳେ ନିଷ୍ପ୍ରାଣ ରଙ୍ଗର ହୁଏ ଏବଂ କୌଣସି ଘ୍ରାଣ ନଥାଏ; ଛୁଆଁଲେ କଠିନ ହୋଇଥାଏ।	ତାଜା ଫଳର ରଙ୍ଗ ସ୍ୱାଭାବିକ ଓ ଉଜ୍ଜ୍ୱଳ ଲାଗେ, ଘ୍ରାଣ ହାଲୁକା ମିଠା/ଫଳର ଗନ୍ଧ ଆସିପାରେ। ଛୁଆଁଲେ ଅତ୍ୟଧିକ କଠିନ ନୁହେଁ, ଅତ୍ୟଧିକ ନରମ ମଧ୍ୟ ନୁହେଁ, ମଧ୍ୟମ ଦୃଢତା ରହିଲେ ସାଧାରଣତଃ ଭଲ ଧରଣା।	1	Puri	ory_Orya
16	ଏକ କାମ କର: ପୁରୀ ଶପ୍‌ରୁ କିଣା ଟି-ଶର୍ଟର କପଡ଼ା କିପରି ଛୁଇଁ ବୁଝିବ? ଘାମ ଶୋଷଣ ଓ ଶ୍ୱାସ-ନିଆରା ଦିଗରୁ କ’ଣ ତଫାତ ହୋଇପାରେ?	କଟନ୍ ସବୁବେଳେ ଚିପଚିପା ଏବଂ ଘାମ ଶୋଷେ ନାହିଁ; ପଲିଏଷ୍ଟର ନରମ ଓ ଖୁବ ଶ୍ୱାସ-ନିଆରା ହୋଇଥାଏ।	କଟନ୍ ସାଧାରଣତଃ ନରମ ଓ ଶ୍ୱାସ-ନିଆରା ଲାଗେ, ଘାମ ଅଳ୍ପ ଭଲ ଶୋଷିପାରେ। ପଲିଏଷ୍ଟର ଅପେକ୍ଷାକୃତ ଚିକ୍କଣ ଲାଗିପାରେ ଏବଂ ଘାମ ଶୋଷଣର ଅନୁଭବ କଟନ୍ ଠାରୁ ଭିନ୍ନ ହୋଇପାରେ; ଗରମ ଦିନରେ ତଫାତ ଅଧିକ ଧରାପଡ଼େ।	1	Puri	ory_Orya
17	ମନେ କର, ପୁରୀ ସି-ଫୁଡ୍ ଷ୍ଟଲ୍‌ରେ ଭଜା ମାଛ ଖାଇବାକୁ ଯାଉଛ। “କ୍ରିସ୍ପି” ଓ “ଚିପଚିପା” ମଧ୍ୟରେ ଭିନ୍ନତା କିପରି ଧରିବ? ବାହାର ତଳ, ଭିତର ନରମତା, ଏବଂ ତେଲର ଅନୁଭବ କହ।	କ୍ରିସ୍ପି ମାଛ ସବୁବେଳେ ଭିତରେ କଠିନ ଓ ଶୁଖିଲା ଥାଏ; ଚିପଚିପା ମାଛ ହାଲୁକା ହୋଇଥାଏ ଏବଂ ତେଲ ଲାଗେ ନାହିଁ।	କ୍ରିସ୍ପି ମାଛର ବାହାର ତଳ ଟୁକୁଟୁକୁ/କଠିନ ଲାଗେ ଏବଂ କାମୁଡ଼ିଲେ “କ୍ରଞ୍ଚ” ଧ୍ୱନି ହୋଇପାରେ। ଭିତରେ ମାଛ ନରମ ଓ ରସାଳ ରହିଲେ ଭଲ। ଯଦି ଚିପଚିପା ଲାଗୁଛି, ସମ୍ଭବତଃ ତେଲ ଅଧିକ କିମ୍ବା ଠିକ୍ ଭାବେ ଭଜା ହୋଇନାହିଁ।	1	Puri	ory_Orya
18	ଦେଖିବାକୁ ଚେଷ୍ଟା କର: ପୁରୀ ବିଚ୍‌ରେ ଲାଲ କଙ୍କଡ଼ା କିପରି ଚାଲେ ଏବଂ ତାହାର ଖୋଲା କେମିତି ଲାଗେ? ଦୃଢତା ଓ ରଙ୍ଗ ବିଷୟରେ କହ।	ଲାଲ କଙ୍କଡ଼ା ସାଧାରଣତଃ ଧୀରେ ସିଧା ଆଗକୁ ଚାଲେ ଏବଂ ଖୋଲାଟା ନରମ ଗମ୍ ଭଳି ହୋଇଥାଏ।	ଲାଲ କଙ୍କଡ଼ା ଅନେକ ସମୟ ପାଶକୁ ତେଜ ଗତିରେ ଚାଲୁଥାଏ। ତାହାର ଖୋଲା ସାଧାରଣତଃ କଠିନ ଓ ସୁରକ୍ଷାମୂଳକ, ରଙ୍ଗ ଲାଲ/ଲାଲଚେ ଟୋନ୍ ଦେଖାଯାଇପାରେ।	1	Puri	ory_Orya
19	କଳ୍ପନା କର ତୁମେ ପୁରୀ ବିଚ୍‌ରେ ଲାଲ କଙ୍କଡ଼ାକୁ ନିକଟରୁ ଦେଖୁଛ। ତାହାର ପଞ୍ଜା ଓ ଖୋଲାର ଦୃଢତା ଦେଖି କେଉଁ ସାବଧାନତା ନେବା ଉଚିତ?	କଙ୍କଡ଼ାର ପଞ୍ଜା ମାଟି ପରି ନରମ ଥାଏ, ତେଣୁ ଧରିଲେ କିଛି ହେବ ନାହିଁ।	କଙ୍କଡ଼ାର ପଞ୍ଜା କଠିନ ହୋଇପାରେ ଏବଂ ଚିପିଦେଲେ ଯନ୍ତ୍ରଣା ହୋଇପାରେ। ତେଣୁ ନିକଟରୁ ଦେଖିବା ଭଲ, କିନ୍ତୁ ହାତ ଲଗାଇବା/ଧରିବା ଟାଳିବା ଉଚିତ, ବିଶେଷକରି ଛୋଟ ଶିଶୁମାନଙ୍କ ପାଇଁ।	1	Puri	ory_Orya
20	ଭାବ, ପୁରୀ ସମୁଦ୍ରକୂଳରେ ଡଲଫିନ୍ ଦେଖିଲେ ସେମାନେ ପାଣି ଉପରେ ଆସିଲାବେଳେ କେମିତି ଦେଖାଯାଏ? ଚର୍ମର ଟେକ୍ସଚର ଓ ଭିଜା ଚମକ ବିଷୟରେ କହ।	ଡଲଫିନ୍‌ର ଚର୍ମ ଲୋମଶ ଥାଏ, ତେଣୁ ପାଣିରେ ଭିଜିଲେ ମଧ୍ୟ ଚମକେ ନାହିଁ।	ଡଲଫିନ୍‌ର ଚର୍ମ ସାଧାରଣତଃ ମସ୍ତ/ସ୍ମୁଥ ଦେଖାଯାଏ। ପାଣି ଉପରେ ଆସିଲେ ଭିଜା ଥିବାରୁ ଆଲୋକରେ ଚମକ ଦେଖାଯାଇପାରେ, ଏବଂ ଶରୀର ଦ୍ରୁତ ଭାବେ ପୁଣି ପାଣି ଭିତରକୁ ଯାଇପାରେ।	1	Puri	ory_Orya
21	ଯଦି ତୁମେ ପୁରୀ ଟୁରିଜମ୍‌ ସମୟରେ ସନ୍‌ସ୍କ୍ରିନ୍ ଲଗାଉଛ, ଲୋସନ୍ ଓ ଜେଲ୍ ଟେକ୍ସଚରରେ କେଉଁ ଶାରୀରିକ ତଫାତ ଅନୁଭବ ହୋଇପାରେ? କିପରି ଲଗେଇବା ସହଜ?	ଜେଲ୍ ସବୁବେଳେ ତେଲିଆ ଓ ଭାରୀ ଲାଗେ, ଲୋସନ୍ ଏକଦମ ପାଣି ପରି ହୋଇ ଲଗେ ନାହିଁ।	ଲୋସନ୍ ସାଧାରଣତଃ କ୍ରିମି ଓ ଚର୍ମରେ ସମାନଭାବେ ପସରିଯାଏ। ଜେଲ୍ ହାଲୁକା/ଶୀତଳ ଲାଗିପାରେ ଏବଂ ଦ୍ରୁତ ଶୋଷିଯାଇପାରେ। ଯାହା ହେଉ, ସମାନ ଲେୟର୍ ଭାବେ ଲଗାଇବା ଦରକାର ଯାହାଫଳେ ଚର୍ମରେ ରକ୍ଷା ଭଲ ମିଳେ।	1	Puri	ory_Orya
22	ଧ୍ୟାନ ଦେଅ: ପୁରୀ ଶପ୍‌ରୁ କିଣା ମ୍ୟାଗ୍ନେଟ୍/ସୁଭେନିୟର୍ ଫ୍ରିଜ୍‌ରେ ଲଗାଇଲେ କେମିତି ଧରିରହିବ? ଓଜନ ଓ ଚୁମ୍ବକୀୟ ଟାଣ ବିଷୟରେ କହ।	ଚୁମ୍ବକୀୟ ଟାଣ ଓଜନ ସହ କିଛି ସମ୍ପର୍କ ନାହିଁ; ଭାରୀ ଜିନିଷ ହେଲେ ମଧ୍ୟ ସହଜରେ ଲଗି ରହିବ।	ମ୍ୟାଗ୍ନେଟ୍ ଯେତେ ଶକ୍ତିଶାଳୀ, ଫ୍ରିଜ୍‌ରେ ସେତେ ଭଲ ଧରିରହିବ। ଯଦି ସୁଭେନିୟର୍ ଅତ୍ୟଧିକ ଭାରୀ, ଦୁର୍ବଳ ମ୍ୟାଗ୍ନେଟ୍ ଧରିରଖିପାରିବ ନାହିଁ ଏବଂ ଖସିପାରେ, ତେଣୁ ଓଜନ ଓ ମ୍ୟାଗ୍ନେଟ୍ ଶକ୍ତି ଦୁହେଁ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ।	1	Puri	ory_Orya
23	ତୁମେ ପୁରୀର ଷ୍ଟ୍ରିଟ୍ ଭେଣ୍ଡର୍‌ ଠାରୁ ବେଲ୍‌/ସରବତ ନେଉଛ। ଗିଲାସରେ ବରଫ ଥିଲେ “ଘନତା” ଓ “ଠଣ୍ଡାପନ” କିପରି ବଦଳେ? ମୁହଁରେ ଅନୁଭବ କହ।	ବରଫ ଦେଲେ ପାନୀୟ ଅଧିକ ଘନ ହୋଇଯାଏ ଏବଂ ଠଣ୍ଡାପନ କମିଯାଏ।	ବରଫ ଦେଲେ ପାନୀୟ ଠଣ୍ଡା ହୋଇଯାଏ, ମୁହଁରେ ଶୀତଳ ଅନୁଭବ ଆସେ। କିନ୍ତୁ ବରଫ ଗଳିଲେ ପାନୀୟ ପତଳା ହୋଇପାରେ, ତେଣୁ ସ୍ୱାଦ ଓ ଘନତା ଅଳ୍ପ କମିପାରେ।	1	Puri	ory_Orya
24	ଭାବ, ପୁରୀ ବିଚ୍‌ରେ ଧାତୁ ଗହଣା/ଚେନ୍ ପିନ୍ଧି ସମୁଦ୍ର ପାଣିରେ ଯାଇଲେ କଣ ହୋଇପାରେ? ସତହର ପରିବର୍ତ୍ତନ ଓ ରଙ୍ଗ ବିଷୟରେ କହ।	ସମୁଦ୍ର ପାଣି ଧାତୁକୁ ପୋଲିଶ୍ କରି ଅଧିକ ଚମକାଇଦିଏ, କୌଣସି ଦାଗ ହୁଏ ନାହିଁ।	ଲୁଣିଆ ପାଣି ଓ ଆର୍ଦ୍ରତା ହେତୁ କିଛି ଧାତୁରେ ଦାଗ/ଜଙ୍ଗ ପଡ଼ିପାରେ ଏବଂ ଚମକ କମିପାରେ। ସେହିପାଇଁ ସମୁଦ୍ରରୁ ଫେରିଲେ ମିଠା ପାଣିରେ ଧୋଇ ସୁକାଇଦେବା ଭଲ।	1	Puri	ory_Orya
